GENEID	X23	X41	X47	X70	X79	X84	X92	X94
Cdc42	0	3.00109916954915	0	2.00048844025395	2.00048844025395	8.00782268745052	11.0147970057849	6.00439882750478
Cdc42ep3	0	0	0	0	0	0	6.00439882750478	0
Cdh11	0	0	0	5.00305424361532	0	2.00048844025395	0	0
Cdh13	0	11.0147970057849	0	0	0	0	0	1.00012209018435
Cdh5	0	5.00305424361532	0	0	0	0	0	4.00195439749781
Cdkn1a	0	0	0	0	0	10.0122269359159	0	2.00048844025395
Celf2	0	0	1.00012209018435	0	2.00048844025395	6.00439882750478	6.00439882750478	0
Cfdp1	1.00012209018435	1.00012209018435	0	0	1.00012209018435	1.00012209018435	5.00305424361532	1.00012209018435
Cfl1	1.00012209018435	8.00782268745052	0	3.00109916954915	4.00195439749781	5.00305424361532	6.00439882750478	12.0176125328898
Chchd2	3.00109916954915	1.00012209018435	1.00012209018435	2.00048844025395	2.00048844025395	7.00598826885697	7.00598826885697	7.00598826885697
Chd4	0	1.00012209018435	0	0	0	4.00195439749781	6.00439882750478	3.00109916954915
Chst15	0	0	0	0	0	6.00439882750478	7.00598826885697	2.00048844025395
Clec14a	1.00012209018435	10.0122269359159	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435
Clic1	0	2.00048844025395	0	1.00012209018435	0	0	1.00012209018435	6.00439882750478
Clic4	0	11.0147970057849	1.00012209018435	1.00012209018435	1.00012209018435	9.00990220315199	6.00439882750478	2.00048844025395
Cltc	1.00012209018435	2.00048844025395	0	2.00048844025395	1.00012209018435	3.00109916954915	5.00305424361532	2.00048844025395
Clu	3.00109916954915	0	0	9.00990220315199	0	4.00195439749781	12.0176125328898	0
Cmip	0	17.0353762377124	0	0	0	6.00439882750478	2.00048844025395	1.00012209018435
Cnbp	0	2.00048844025395	0	1.00012209018435	2.00048844025395	13.0206736374495	3.00109916954915	0
Col15a1	0	0	1.00012209018435	0	0	0	0	12.0176125328898
Col1a1	9.00990220315199	0	0	14.0239804397716	1.00012209018435	15.0275330602518	50.3076822698104	2.00048844025395
Col1a2	4.00195439749781	1.00012209018435	0	9.00990220315199	1.00012209018435	48.283466760365	79.771780546812	1.00012209018435
Col3a1	5.00305424361532	0	0	12.0176125328898	0	68.5707791601287	71.6225612459211	0
Col4a1	1.00012209018435	67.5540235386734	2.00048844025395	3.00109916954915	0	11.0147970057849	17.0353762377124	67.5540235386734
Col4a2	3.00109916954915	35.1503934793561	0	3.00109916954915	0	11.0147970057849	17.0353762377124	32.1256548803621
Col5a2	1.00012209018435	0	0	1.00012209018435	0	5.00305424361532	5.00305424361532	0
Col6a1	3.00109916954915	0	0	3.00109916954915	1.00012209018435	2.00048844025395	6.00439882750478	0
Col6a2	4.00195439749781	0	0	1.00012209018435	2.00048844025395	4.00195439749781	8.00782268745052	1.00012209018435
Col6a3	3.00109916954915	0	2.00048844025395	4.00195439749781	0	7.00598826885697	18.0396670359275	0
Col6a6	0	1.00012209018435	0	0	0	2.00048844025395	5.00305424361532	0
Coro1b	1.00012209018435	6.00439882750478	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435
Cox8a	4.00195439749781	1.00012209018435	1.00012209018435	3.00109916954915	3.00109916954915	2.00048844025395	7.00598826885697	0
Cp	0	0	0	0	1.00012209018435	14.0239804397716	19.0442041347699	0
Crip2	0	7.00598826885697	1.00012209018435	0	0	4.00195439749781	4.00195439749781	2.00048844025395
Crispld2	0	0	0	0	0	5.00305424361532	1.00012209018435	0
Csf2rb	0	5.00305424361532	0	1.00012209018435	0	0	3.00109916954915	0
Csnk1a1	0	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	10.0122269359159	5.00305424361532	0
Csnk1e	0	0	1.00012209018435	0	0	6.00439882750478	1.00012209018435	0
Ctage5	0	1.00012209018435	1.00012209018435	0	2.00048844025395	1.00012209018435	5.00305424361532	2.00048844025395
Ctdsp2	0	2.00048844025395	0	0	0	5.00305424361532	3.00109916954915	1.00012209018435
Ctla2a	0	2.00048844025395	0	0	0	0	0	6.00439882750478
Ctnnb1	0	10.0122269359159	0	1.00012209018435	0	0	1.00012209018435	7.00598826885697
Cxcl1	0	0	5.00305424361532	0	0	71.6225612459211	83.8524782691409	0
Cxcl10	0	0	2.00048844025395	0	0	14.0239804397716	13.0206736374495	0
Cxcl12	27.0893822675098	43.22730021288	1.00012209018435	6.00439882750478	0	73.6583465760993	127.978672284089	2.00048844025395
Cxcl13	0	0	0	4.00195439749781	0	36.1591362501238	29.1031482864402	0
Cxcl2	0	0	0	0	0	24.0705883708827	0	0
Cxcl5	0	0	0	0	0	0	32.1256548803621	0
Cxx1a	0	12.0176125328898	0	0	0	0	3.00109916954915	8.00782268745052
Cxxc1	0	0	0	0	1.00012209018435	1.00012209018435	5.00305424361532	0
Cyfip1	1.00012209018435	5.00305424361532	0	0	0	0	1.00012209018435	3.00109916954915
Cygb	0	1.00012209018435	0	2.00048844025395	0	7.00598826885697	17.0353762377124	1.00012209018435
Cyp1b1	0	0	0	0	0	4.00195439749781	5.00305424361532	1.00012209018435
Cyyr1	0	8.00782268745052	0	0	0	0	0	1.00012209018435
Dag1	1.00012209018435	1.00012209018435	0	1.00012209018435	0	5.00305424361532	4.00195439749781	3.00109916954915
Dapk1	0	0	0	0	0	7.00598826885697	3.00109916954915	0
Dcaf10	0	3.00109916954915	0	0	1.00012209018435	8.00782268745052	1.00012209018435	1.00012209018435
Dclk1	1.00012209018435	0	0	1.00012209018435	0	11.0147970057849	5.00305424361532	0
Dcn	18.0396670359275	1.00012209018435	1.00012209018435	10.0122269359159	0	146.592185760093	47.2717340146999	1.00012209018435
